respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.06,0.34
26708,0.06,0.33
26709,0.19,0.91
26710,0.72,0.98
26711,0.41,0.59
26712,0.8,0.98
26713,0.33,0.45
26714,0.09,0.01
26715,0,0.1
26716,0.21,0.86
26717,0.06,0.44
26718,0.14,0.37
26719,0.16,0.8
26720,0.18,0.28
26721,0.46,0.55
26722,0,0.09
26723,0.87,0.92
26724,0,0.73
26725,0.03,0.06
26726,0.01,0.08
26727,0.65,0.85
26728,0.22,0.6
26729,0.06,0.86
26730,0.08,0.18
26731,0,0.32
26732,0.21,0.27
26733,0.89,0.97
26734,0.83,0.43
26735,0,0.19
26736,0.06,0.16
26737,0.06,0.23
26738,0.91,0.82
26739,0.1,0.33
26740,0.33,0.16
26741,0.06,0.96
26742,0.07,0.42
26743,0.04,0.37
26744,0.25,0.59
26745,0.21,0.8
26746,0.09,0.3
26747,0.06,0.07
26748,0.22,0.15
26749,0.05,0.46
26750,0.26,0.9
26751,0.69,0.93
26752,0.12,0.21
26753,0.33,0.42
26754,0.28,0.39
26755,0.13,0.43
26756,0.03,0.04
26757,0.26,0.43
26758,0.5,0.7
26759,0,0.07
26760,0,0.08
26761,0.39,0.79
26762,0.31,0.8
26763,0.82,0.99
26764,0.76,0.92
26765,0.09,0.54
26766,0.18,0.06
26767,0.76,0.62
26768,0.02,0.48
26769,0.21,0.46
26770,0.02,0.54
26771,0.17,0.19
26772,0.06,0.41
26773,0.04,0.41
26774,0.01,0.34
26775,0.03,0.46
26776,0.48,0.39
26777,0.35,0.91
26778,0.15,0.12
26779,0.17,0.7
26780,0.1,0.87
26781,0.26,0.37
26782,0.01,0.17
26783,0,0.14
26784,0.12,0.9
26785,0.71,0.67
26786,0.06,0.23
26787,0.05,0.57
26788,0.05,0.9
26789,0.01,0.36
26790,0,0.09
26791,0.04,0.07
26792,0.14,0.83
26793,0.39,0.98
26794,0.38,0.89
26795,0.15,0.95
26796,0.04,0.01
26797,0.26,0.69
26798,0.66,0.21
26799,0.44,0.51
26800,0.03,0.98
26801,0.18,0.28
26802,0.08,0.07
26803,0.02,0.14
26804,0,0.05
26805,0.16,0.15
26806,0.01,0.95
26807,0.34,0.64
26808,0.17,0.42
26809,0.58,0.34
26810,0.05,0.16
26811,0.01,0.01
26812,0.55,0.73
26813,0.51,0.4
26814,0,0.79
26815,0,0.01
26816,0.05,0.18
26817,0,0.7
26818,0.28,0.31
26819,0.14,0.42
26820,0.11,0.13
26821,0.03,0.6
26822,0.04,0.64
26823,0.2,0.31
26824,0.01,0.7
26825,0.47,0.89
26826,0,0.63
26827,0,0.28
26828,0.07,0.15
26829,0.85,0.97
26830,0,0.72
26831,0.25,0.71
26832,0.05,0.8
26833,0.08,0.71
26834,0.29,0.62
26835,0.49,0.81
26836,0.34,0.7
26837,0.05,0.06
26838,0.27,0.55
26839,0.08,0.35
26840,0.16,0.34
26841,0.38,0.62
26842,0.04,0.18
26843,0.09,0.08
26844,0.1,0.31
26845,0,0.72
26846,0,0.88
26847,0.48,0.26
26848,0,0.72
26849,0.63,0.46
26850,0.63,0.57
26851,0.01,0.01
26852,0.18,0.2
26853,0.32,0.32
26854,0.11,0.06
26855,0.36,0.88
26856,0.04,0.07
26857,0.55,0.1
26858,0,0.49
26859,0,0.03
26860,0.4,0.09
26861,0.02,0.1
26862,0.01,0.23
26863,0.01,0.5
26864,0.33,0.33
26865,0.09,0.07
26866,0.01,0.62
26867,0.15,0.29
26868,0.62,0.86
26869,0.07,0.15
26870,0.77,0.96
26871,0.01,0.05
26872,0.06,0.41
26873,0.05,0.72
26874,0.04,0.11
26875,0.37,0.78
26876,0.04,0.26
26877,0.12,0.13
26878,0.23,0.36
26879,0,0.14
26880,0.06,0.25
26881,0.01,0.05
26882,0,0
26883,0.11,0.29
26884,0.14,0.26
26885,0.12,0.66
26886,0.01,0.59
26887,0.52,0.93
26888,0.88,0.93
26889,0,0.26
26890,0.04,0.72
26891,0.89,0.82
26892,0.04,0.43
26893,0.02,0.04
26894,0.3,0.21
26895,0.01,0.92
26896,0.11,0
26897,0.12,0.34
26898,0.13,0.73
26899,0,0.01
26900,0.03,0.26
26901,0.02,0.35
26902,0.19,0.76
26903,0.12,0.22
26904,0.04,0.48
26905,0.34,0.81
26906,0.01,0.16
26907,0,0.63
26908,0.01,0.52
26909,0.35,0.13
26910,0.14,0.38
